ID	sex	grade
w9f1gk	male	A
sbw39n	female	C
wgldit	female	A
f2r7y0	female	C
cvu8gg	female	C
4mbrhn	female	A
vwitff	female	C
68slvm	male	D
at5p2d	male	C
79y3eo	male	C
xgmi4e	diverse	D
7pvtze	male	F
lw0u7i	female	B
beibi2	male	B
y0omle	female	C
nlu5uq	female	C
t0uueg	female	C
x413fb	female	B
pyogq2	male	D
4fbfgt	female	C
wi0339	female	A
gcp0mw	male	B
sshhfw	male	C
ya762e	diverse	B
n73u29	diverse	C
c9qmno	male	A
6m1wx4	male	C
gysgg0	diverse	A
ys4msw	female	D
9c0qah	male	B
9b8r19	male	B
6smswc	male	B
2d94t6	male	D
srpsxg	male	B
o48rnh	male	B
fmgf94	female	D
06clsf	female	B
djxa4t	female	D
smvezi	male	C
6o6sx4	diverse	D
4va24m	female	C
bspm0l	male	B
tsdh0n	male	A
jqogpz	diverse	A
mkxrll	diverse	B
py21lc	diverse	B
9nrp52	female	F
xcjuv5	diverse	F
fqd6dm	male	B
lazj0b	male	B
8fzj94	female	B
zdpmlt	female	F
v6f1vl	female	A
xm8l5b	female	D
g2tns5	female	B
c2lb2x	female	B
04ubfa	female	C
sum1fq	male	B
9b1t8c	male	A
hh4fs1	female	B
p6ou06	female	C
6jxu6z	male	C
cbh9n1	female	B
okxivh	diverse	B
jjisff	male	A
5yoan4	male	C
bk97q6	female	C
xd4lyy	male	B
hxbjow	female	C
c35f6d	female	D
u3pkyx	male	C
i7ir9d	male	A
h8v3cl	male	B
yhslx2	female	D
e7r2ch	male	B
rwsfsw	female	A
t060up	female	C
o39e18	female	C
rx7h1s	female	B
ayml1j	male	B
a06gd1	female	B
71929c	female	A
l6mcbi	female	C
xibe60	male	C
nvga0u	female	C
vfbht7	female	B
gkmvuw	male	C
unrzm6	female	A
zlyhaa	female	D
iovo66	diverse	A
ozbyaw	male	C
woxg08	male	B
oglvg9	diverse	A
prznod	male	B
6bttyh	female	B
hzjwk9	female	D
7136kv	female	A
to3uut	male	C
fchcvd	female	C
mphnp0	female	C
x1ttuj	female	B
ztvdzm	female	B
nz5hp0	male	F
xji9to	diverse	A
4tx1pf	female	B
e05jd7	female	C
sszz78	male	C
pubn62	male	B
1mpm06	female	C
lsri18	female	B
9zsu2h	female	A
yezh6e	female	F
ssgilo	diverse	A
lddwp7	male	B
igx17u	female	A
z1avk1	male	C
ptkju2	male	A
8icd8z	female	A
q4pi84	male	D
f3ltbp	male	D
0jolzt	female	B
y7gswg	male	F
4xv9mt	male	B
jih51v	diverse	B
qim5eg	male	C
xuqdpn	diverse	B
81lhu6	diverse	F
24gmoz	female	A
y4u17d	female	D
e8p5va	male	C
x7do4q	diverse	D
a4sfrn	male	A
wegp6n	female	F
tovvbo	diverse	C
39dcxz	male	B
miqoa8	female	B
8a4p2j	male	C
9obqwp	female	D
kirgum	female	C
en74es	male	F
6y83pq	male	A
z2nxy8	female	C
ejku66	male	A
v5paql	female	B
7svaac	male	B
2oos5k	female	B
cyxrnb	male	F
a58pt2	diverse	A
kfp9o8	female	F
7cft2v	male	C
bm6b13	male	C
uksib9	female	F
ok2tbq	male	C
a1y1mm	male	C
6qo0dp	female	F
1z9056	female	A
omny4o	female	D
z9ndyi	male	D
8f5oy4	female	F
j53rhi	female	C
h3pjdz	male	B
8bxnf7	female	C
d7zy5k	female	B
9gkcf1	female	B
fip5tk	female	F
p3raot	female	C
gqt26i	male	A
e9gjqb	female	A
tuyb2d	male	F
xup3cb	female	C
hvy2mb	female	A
e0v8sp	female	F
3td7ja	male	B
e2r3qc	female	D
3n8sa4	female	A
24hi7n	diverse	C
qse88y	female	B
mnoxle	diverse	C
q3kji3	male	F
abaytp	diverse	B
qq7htt	female	D
g5r7dm	male	D
xx1cf2	male	D
7ddwrz	male	D
2qvmze	female	A
9er7lz	male	A
9r1ows	female	B
45wet5	diverse	B
m93517	male	B
6pyi8o	male	D
buoiut	male	C
69mqyy	male	C
3o1er5	male	F
389538	male	B
vxgjrw	male	B
h68yct	male	D
gym9mt	male	B
np483a	male	C
3c474e	male	B
fn5w8d	male	B
