Monat Bedeckungsgrad Lufttemperatur Windstaerke Sonnenscheindauer Niederschlagshoehe
2018-12 6.24 -9.6 4.29 82.8 361.7
2019-01 NA -14.44 3.97 110.2 483.5
2019-02 4.72 -7 3.79 189.6 128.3
2019-03 5.34 -8.28 4.35 187.23 219.3
2019-04 5.22 -5.35 3.5 210.15 150
2019-05 6.67 -5.46 3.1 122.26 447.8
2019-06 3.92 5.45 3.37 311.3 84.6
2019-07 6.47 4.32 3 165.12 146.8
2019-08 6.04 4.9 3.23 186.48 160.7
2019-09 5.41 1.49 3.37 178.63 152.7
2019-10 5.31 -0.01 4.32 163.64 208.1
2019-11 6.14 -6.88 4.63 103.15 156.6
2019-12 NA -7.18 4.39 120.08 220.8
2020-01 4.12 -6.51 4.03 176.67 119.3
2020-02 NA -8.4 5.17 108.28 318.7
2020-03 NA -8.92 3.61 184.37 146.7
2020-04 4.19 -3.07 2.9 239.02 76.8
2020-05 6.24 -2.42 3.19 172.88 97.5
2020-06 6.25 1.03 2.97 152.67 291.8
2020-07 5.75 3.44 3.03 184.15 158.8
2020-08 5.36 4.81 2.87 174.37 195.3
2020-09 5 2.33 2.9 183.13 179
2020-10 5.93 -3.62 3.9 129.4 172.7
2020-11 2.99 -2.37 3.2 211.77 50.1
2020-12 5.45 -8.54 4.19 106.52 121.9
2021-01 5.94 -13.04 4.13 110.42 247.3
2021-02 4.25 -7.14 4.25 181.1 74.7
2021-03 5.17 -9.96 3.29 176.37 NA
2021-04 NA -9.37 NA 192.81 131.3
2021-05 6.61 -5.23 4.16 144.95 248.3
2021-06 5.56 3.95 2.93 216.53 127.8
2021-07 5.97 3.78 3.55 160.45 236.9
2021-08 6.38 2.02 3.29 145.3 243.2
2021-09 4.31 2.41 2.93 238.63 115
2021-10 4.69 -2.07 3.81 194.27 68.4
2021-11 4.96 -5.49 3.47 139.6 143.9
2021-12 5.12 -8.46 3.97 116.78 217.7
2022-01 NA -9.71 NA 153.72 188.8
2022-02 NA -9.96 4.64 137.92 310.4
2022-03 2.95 -7 2.94 280.59 30.9
2022-04 5.86 -6.36 3.3 186.07 118.8
2022-05 6.29 0.09 3.03 165.57 147.8
2022-06 5.36 4.42 3.4 213.1 145.2
2022-07 NA 5.07 3 207.98 85.6
2022-08 4.8 4.92 2.42 217.4 188
2022-09 6.33 -1.25 3.5 107.8 237.9
2022-10 5.36 1.4 3.94 179.62 112.7
