date wind precip sunshine clouds pressure temperature
2021-06-12 5.7 1.3 4.083 5.3 1003.67 18.3
2021-07-16 3.5 6.8 9.1 5 1004.97 22.6
2021-07-17 4 0 6.767 5.8 1006.93 22.7
2021-07-19 3.7 0 1.067 6.8 1007.45 17
2021-07-20 3.1 0 5.05 5.9 1007.51 17.1
2021-07-24 3.5 0 10.833 2.8 1000.43 22.9
2021-08-04 2.4 0.5 4.683 6.6 1001.65 17.6
2021-08-27 3.7 1.7 3.967 7.2 999.17 14.2
2021-09-08 3.2 0 12.05 0 1008.4 18.3
2021-09-09 3.8 0 12.15 1 1001.71 19.3
2021-09-18 3.8 1 0.35 7.9 1004.23 13.8
2021-10-20 6.3 1 1.217 7.9 994.59 15.1
2021-10-24 3.7 0 9.517 4.7 1015.79 6.6
2021-10-29 4 0 8.9 2.1 1001.74 8.2
2021-11-05 5.7 0 0.067 7.7 1005.03 7.6
2021-11-06 5.4 0 1.483 7.9 1011.78 8.4
2021-11-08 5.2 0.7 0.633 7.6 1006.83 8.3
2021-11-09 3.2 0 3.35 5.5 1015.73 7.7
2021-11-11 2.8 0.3 3.5 6.5 1011.66 4.9
2021-12-19 6.9 1.6 0 6.3 1009.79 5.7
2021-12-28 5 3 0 7.5 987.32 -0.7
2022-01-07 5.4 1.8 0.25 7.3 1001.29 0.1
2022-01-08 4.3 0 1.733 6.9 995.85 0.6
2022-02-11 3.8 0.1 1.167 6.6 1010.52 2.9
2022-02-24 6.9 0.2 1.233 5.8 999.63 5.7
2022-03-17 4 0 0 7.9 1017.87 6.7
2022-03-25 2.8 0 10.817 0.4 1017.08 9.9
2022-03-31 6.8 0 5.633 7.9 991.82 3.6
2022-04-07 7.9 8.1 3.417 6.8 975.3 9.4
2022-04-10 6.3 0.2 4.25 5.2 1003.42 4.6
2022-04-14 3.1 2.9 2.983 7.9 1007.41 12
2022-05-23 4.6 1.7 10.733 7.8 996.27 17.1
2022-06-04 3.1 0 6.583 6.1 1007.81 19.3
2022-06-08 2.6 0 4.633 7.4 996.92 19.9
2022-06-13 4.6 0 9.1 5.4 1006.62 16.1
2022-06-24 4.4 0.2 10.7 4 997.47 24
2022-06-27 4.3 2.1 11.383 4.8 1001.93 26.5
2022-07-19 3 0 14.467 3.5 1007.74 26.6
2022-08-04 2.8 0 12.967 3.9 1001.6 29.1
2022-08-16 2.3 0 11.283 2 997.25 23.6
2022-08-31 3.3 0 9.083 6.7 1011.4 16.9
2022-09-10 3.2 0 9.217 4.1 1000.37 16.2
2022-09-16 6.5 7 7.767 4.2 992.5 12.9
2022-09-22 2.3 0 8.167 2 1012.28 10.4
2022-10-17 5.1 0.9 8.517 7.6 1010.56 17.4
2022-10-19 3.2 0 3.283 5.7 1015.17 9.9
2022-10-23 4.1 3.3 4.467 7.9 1002.85 13.6
2022-10-25 4.7 0.9 2.25 6 1003.34 12.9
2022-10-29 4.2 0 5.183 8 1008.84 16.2
2022-10-31 3.2 0 5.6 5.7 1008 12.7
