Date	APPLE	AMAZON	FORD	GOOGLE	MICROSOFT	VOLKSWAGEN
2007-06-01	3.604509	3.429	5.454075	12.463285	22.304646	NA
2007-08-06	4.117483	3.95	5.349566	12.702388	21.539038	NA
2007-10-18	5.281947	4.4925	5.721879	15.930787	22.799896	NA
2007-11-23	5.222278	4.0715	4.696383	16.854326	25.040943	NA
2007-11-28	5.486526	4.515	4.807425	17.241873	24.73995	NA
2008-04-14	4.49894	3.6305	4.428578	11.249335	20.679541	NA
2008-06-06	5.651532	4.0315	3.945224	14.122067	20.334044	NA
2009-04-13	3.659916	3.947	2.782558	9.417451	14.747275	NA
2009-09-14	5.288645	4.193	4.827019	11.833645	19.045918	NA
2009-11-30	6.08596	6.7955	5.806795	14.520573	22.504656	NA
2010-02-03	6.065258	5.955	7.603046	13.470011	21.907797	81.046661
2010-09-09	8.008767	7.019	7.674897	11.860046	18.640667	80.202423
2010-09-14	8.160683	7.2875	7.825127	11.965899	19.432571	85.478897
2010-12-27	9.884392	9.107	11.019192	15.003264	21.926634	118.193054
2011-06-01	10.518531	9.62	9.29479	13.090932	19.321905	143.520126
2011-07-01	10.450033	10.4745	9.157621	12.977109	20.579443	156.18367
2012-05-04	17.208187	11.1995	7.027102	14.868519	25.006218	141.409531
2012-10-09	19.440607	12.548	6.687898	18.532785	23.946695	145.208603
2012-11-08	16.516378	11.3675	7.252632	16.246355	23.562311	156.892838
2012-12-07	16.378159	12.6635	7.638555	17.041374	21.81818	172.435226
2012-12-21	15.95062	12.846	7.891398	17.82394	22.634508	178.851425
2013-01-28	13.816011	13.802	9.236447	18.698166	23.013807	197.340195
2014-04-10	16.580648	15.8555	10.76179	26.973444	33.687962	226.339691
2014-05-16	19.031172	14.885	10.936101	25.960226	34.330727	218.834213
2014-07-08	21.258816	16.1905	11.872886	28.476318	36.01149	225.295883
2014-08-26	22.605881	17.091499	12.01387	28.81389	39.037838	198.50885
2015-07-23	28.394798	24.108999	10.504917	32.214001	40.793934	193.884125
2015-11-06	27.707052	32.968498	10.654212	36.688	48.908619	114.523819
2016-05-25	23.063358	35.4175	10.368145	36.2635	47.392632	134.705399
2016-09-13	25.127253	38.050499	9.598008	37.984501	51.723022	127.982635
2017-05-25	36.305141	49.668999	8.778587	48.477001	64.888832	145.004715
2019-05-15	46.443584	93.557503	9.515199	58.210499	121.693733	153.567566
2019-06-10	46.847404	93.031502	9.019233	54.019001	128.047852	149.760391
2020-01-06	73.426834	95.143997	8.678751	69.710503	154.606171	178.46051
2020-04-07	63.690231	100.580002	4.538439	59.3255	159.376236	124.647797
2020-10-05	114.919823	159.960007	6.764297	74.301003	206.154694	163.053619
2020-10-08	113.410568	159.527496	7.082277	74.296501	206.350693	165.30368
2021-05-04	126.522224	165.593506	10.994392	117.712502	244.00975	290.805908
2021-05-21	124.338203	160.154007	12.844457	117.254997	241.987228	317.485168
2022-05-10	154.040131	108.859001	13.08143	114.584503	267.550293	193.836288
